arm,seed,eps,n,m,method,stepsize,slope,final_gap,L_emp,L_cert,eta,inner_iters_mean
main,0,0.002,60,2,SGA,emp,-0.9981595279986195,1.262488641615156e-07,0.01635627000608186,398.9368745574166,61.13863366330853,
main,0,0.002,60,2,ASGA,emp,-2.0459598077532903,1.997518081497951e-09,0.01635627000608186,398.9368745574166,61.13863366330853,
main,0,0.002,60,2,SGA,cert,-0.013474030576222817,0.018747402166597794,0.01635627000608186,398.9368745574166,0.0025066622410109545,
main,0,0.002,60,2,ASGA,cert,-0.6147387308258835,0.004652778715277993,0.01635627000608186,398.9368745574166,0.0025066622410109545,
main,1,0.002,60,2,SGA,emp,-0.9602771156468581,1.1263420680862612e-07,0.01603223863973605,362.41407718251116,62.37432104593871,
main,1,0.002,60,2,ASGA,emp,-1.9694714577653307,2.162870986477383e-09,0.01603223863973605,362.41407718251116,62.37432104593871,
main,1,0.002,60,2,SGA,cert,-0.014993034028068902,0.022616995689913894,0.01603223863973605,362.41407718251116,0.0027592747162975173,
main,1,0.002,60,2,ASGA,cert,-0.6913147441854521,0.004686940055437759,0.01603223863973605,362.41407718251116,0.0027592747162975173,
main,2,0.002,60,2,SGA,emp,-1.005946324015935,8.634442168892198e-08,0.01639844350978355,375.933873727242,60.98139737490241,
main,2,0.002,60,2,ASGA,emp,-2.0207662724496225,1.4251424623745734e-09,0.01639844350978355,375.933873727242,60.98139737490241,
main,2,0.002,60,2,SGA,cert,-0.014455729982785043,0.02165157853934365,0.01639844350978355,375.933873727242,0.002660042283727664,
main,2,0.002,60,2,ASGA,cert,-0.6642793009166305,0.0047807744847562575,0.01639844350978355,375.933873727242,0.002660042283727664,
main,3,0.002,60,2,SGA,emp,-0.9936078971812403,4.949973995971302e-08,0.016228662575252687,274.77092886253297,61.619372228794376,
main,3,0.002,60,2,ASGA,emp,-1.962870023365837,9.186750804524024e-10,0.016228662575252687,274.77092886253297,61.619372228794376,
main,3,0.002,60,2,SGA,cert,-0.020147320383225937,0.03695226291537651,0.016228662575252687,274.77092886253297,0.0036393952014490472,
main,3,0.002,60,2,ASGA,cert,-0.9661136637694125,0.003943127577602304,0.016228662575252687,274.77092886253297,0.0036393952014490472,
main,4,0.002,60,2,SGA,emp,-0.963598177282097,8.958467877934195e-08,0.01633596246239725,379.64090573215617,61.21463625432775,
main,4,0.002,60,2,ASGA,emp,-1.9561618722130152,1.6651391029909313e-09,0.01633596246239725,379.64090573215617,61.21463625432775,
main,4,0.002,60,2,SGA,cert,-0.01452408144628619,0.03357350018008945,0.01633596246239725,379.64090573215617,0.002634068101990882,
main,4,0.002,60,2,ASGA,cert,-0.6684742573079744,0.007331937715549845,0.01633596246239725,379.64090573215617,0.002634068101990882,
main,5,0.002,60,2,SGA,emp,-1.0329746955016115,6.729160414997715e-08,0.016404200014653682,328.39794658435267,60.9599979948252,
main,5,0.002,60,2,ASGA,emp,-2.003574027123695,1.1740343835997535e-09,0.016404200014653682,328.39794658435267,60.9599979948252,
main,5,0.002,60,2,SGA,cert,-0.016696252787615114,0.028628111388002364,0.016404200014653682,328.39794658435267,0.0030450860317518427,
main,5,0.002,60,2,ASGA,cert,-0.7796173010868993,0.004806999230147921,0.016404200014653682,328.39794658435267,0.0030450860317518427,
main,6,0.002,60,2,SGA,emp,-0.986679688408353,1.0354736998396952e-07,0.01605021103461511,312.01043311307785,62.30447673512352,
main,6,0.002,60,2,ASGA,emp,-2.0405952359658857,1.7162797016911924e-09,0.01605021103461511,312.01043311307785,62.30447673512352,
main,6,0.002,60,2,SGA,cert,-0.017184974310359376,0.016777597460309195,0.01605021103461511,312.01043311307785,0.0032050210309396386,
main,6,0.002,60,2,ASGA,cert,-0.8030984089641447,0.0026720623521464953,0.01605021103461511,312.01043311307785,0.0032050210309396386,
main,7,0.002,60,2,SGA,emp,-0.9753279736748837,6.428941205782746e-08,0.016357264441636515,342.3929002008834,61.13491675628567,
main,7,0.002,60,2,ASGA,emp,-1.9721276570018782,1.1670668181862354e-09,0.016357264441636515,342.3929002008834,61.13491675628567,
main,7,0.002,60,2,SGA,cert,-0.01613683272475268,0.03721498506040513,0.016357264441636515,342.3929002008834,0.002920621307898895,
main,7,0.002,60,2,ASGA,cert,-0.7514317455270517,0.006675305959599059,0.016357264441636515,342.3929002008834,0.002920621307898895,
main,8,0.002,60,2,SGA,emp,-0.999079323994136,8.716559878746422e-08,0.016399269179601668,320.6214154370066,60.97832708568844,
main,8,0.002,60,2,ASGA,emp,-2.0502918481179986,1.4107874729551995e-09,0.016399269179601668,320.6214154370066,60.97832708568844,
main,8,0.002,60,2,SGA,cert,-0.017112718131933248,0.029032062064620785,0.016399269179601668,320.6214154370066,0.003118943251613437,
main,8,0.002,60,2,ASGA,cert,-0.801414180083396,0.0046271246715554396,0.016399269179601668,320.6214154370066,0.003118943251613437,
main,9,0.002,60,2,SGA,emp,-1.0182239461282614,5.221045404346647e-08,0.01642861848406932,272.44485847547134,60.869390872378645,
main,9,0.002,60,2,ASGA,emp,-1.9742903316497236,9.480284196561328e-10,0.01642861848406932,272.44485847547134,60.869390872378645,
main,9,0.002,60,2,SGA,cert,-0.02018928942631783,0.028228027993716577,0.01642861848406932,272.44485847547134,0.003670467505225582,
main,9,0.002,60,2,ASGA,cert,-0.9673532606579399,0.0030080071306136658,0.01642861848406932,272.44485847547134,0.003670467505225582,
main,10,0.002,60,2,SGA,emp,-0.9594272111179504,4.5939285084339865e-08,0.016322868628778055,358.08001380204564,61.26374124196213,
main,10,0.002,60,2,ASGA,emp,-1.95706853072489,8.567351966748404e-10,0.016322868628778055,358.08001380204564,61.26374124196213,
main,10,0.002,60,2,SGA,cert,-0.015550798482473586,0.051763081668744965,0.016322868628778055,358.08001380204564,0.002792671920954576,
main,10,0.002,60,2,ASGA,cert,-0.7215799087425754,0.00995946002846515,0.016322868628778055,358.08001380204564,0.002792671920954576,
main,11,0.002,60,2,SGA,emp,-0.965636546902903,1.4787211843891868e-07,0.016321783968646038,390.37685752679994,61.26781250879124,
main,11,0.002,60,2,ASGA,emp,-1.9535910082388075,2.7458289253434742e-09,0.016321783968646038,390.37685752679994,61.26781250879124,
main,11,0.002,60,2,SGA,cert,-0.013480075982511719,0.013496791381077317,0.016321783968646038,390.37685752679994,0.0025616272602208457,
main,11,0.002,60,2,ASGA,cert,-0.6143556513645058,0.003356668693770347,0.016321783968646038,390.37685752679994,0.0025616272602208457,
main,12,0.002,60,2,SGA,emp,-0.9945857698333757,7.71887414957595e-08,0.016322734441575733,353.5750155023948,61.26424488368163,
main,12,0.002,60,2,ASGA,emp,-2.0093833303611484,1.2941044763570275e-09,0.016322734441575733,353.5750155023948,61.26424488368163,
main,12,0.002,60,2,SGA,cert,-0.015600677164331896,0.03607428310058845,0.016322734441575733,353.5750155023948,0.002828254136053985,
main,12,0.002,60,2,ASGA,cert,-0.7236098142319766,0.006914300011505593,0.016322734441575733,353.5750155023948,0.002828254136053985,
main,13,0.002,60,2,SGA,emp,-0.9927404522190475,6.002492985296426e-08,0.01623499604101358,333.89849400844327,61.59533377610656,
main,13,0.002,60,2,ASGA,emp,-1.9648635666767855,1.1164354024595369e-09,0.01623499604101358,333.89849400844327,61.59533377610656,
main,13,0.002,60,2,SGA,cert,-0.016517466790143622,0.03414351826275129,0.01623499604101358,333.89849400844327,0.002994922163304855,
main,13,0.002,60,2,ASGA,cert,-0.7708741046417241,0.005849325063419418,0.01623499604101358,333.89849400844327,0.002994922163304855,
main,14,0.002,60,2,SGA,emp,-0.9961681710454876,5.142124596957398e-08,0.016028994643596695,258.6219762657379,62.3869445486079,
main,14,0.002,60,2,ASGA,emp,-2.012538131050517,8.78062629550147e-10,0.016028994643596695,258.6219762657379,62.3869445486079,
main,14,0.002,60,2,SGA,cert,-0.021255495569380226,0.027106087977461904,0.016028994643596695,258.6219762657379,0.0038666474305048435,
main,14,0.002,60,2,ASGA,cert,-1.0266751778850525,0.00249606223994972,0.016028994643596695,258.6219762657379,0.0038666474305048435,
main,15,0.002,60,2,SGA,emp,-1.0114852157003633,8.99243044055753e-08,0.01595298051961638,385.88108635775376,62.68421118990039,
main,15,0.002,60,2,ASGA,emp,-2.070042056418045,1.3745582450042093e-09,0.01595298051961638,385.88108635775376,62.68421118990039,
main,15,0.002,60,2,SGA,cert,-0.014042569216911766,0.021056083445963016,0.01595298051961638,385.88108635775376,0.002591471920634356,
main,15,0.002,60,2,ASGA,cert,-0.6435274454297383,0.004882015341389587,0.01595298051961638,385.88108635775376,0.002591471920634356,
main,16,0.002,60,2,SGA,emp,-0.9700457834968687,1.4188381405183526e-07,0.01641921541746396,374.6250957314954,60.90424996412256,
main,16,0.002,60,2,ASGA,emp,-1.9795621686433318,2.546044160223193e-09,0.01641921541746396,374.6250957314954,60.90424996412256,
main,16,0.002,60,2,SGA,cert,-0.014076661129557154,0.013775841405953292,0.01641921541746396,374.6250957314954,0.0026693353205486502,
main,16,0.002,60,2,ASGA,cert,-0.6440087451348239,0.0031969108380357145,0.01641921541746396,374.6250957314954,0.0026693353205486502,
main,17,0.002,60,2,SGA,emp,-0.9904778792839428,5.723697436149644e-08,0.01640760803112239,309.6208782489845,60.94733602260447,
main,17,0.002,60,2,ASGA,emp,-1.9599797149461842,1.0470720610000761e-09,0.01640760803112239,309.6208782489845,60.94733602260447,
main,17,0.002,60,2,SGA,cert,-0.017804489211407464,0.03318118737065649,0.01640760803112239,309.6208782489845,0.0032297563576957514,
main,17,0.002,60,2,ASGA,cert,-0.8385199796753231,0.004833641314635449,0.01640760803112239,309.6208782489845,0.0032297563576957514,
main,18,0.002,60,2,SGA,emp,-0.9856010980971245,1.1972979144930784e-07,0.01642909504423962,374.74742351919286,60.86762522873228,
main,18,0.002,60,2,ASGA,emp,-2.025362308544673,1.97037139382239e-09,0.01642909504423962,374.74742351919286,60.86762522873228,
main,18,0.002,60,2,SGA,cert,-0.014265948461819887,0.01654369952007072,0.01642909504423962,374.74742351919286,0.002668463976641015,
main,18,0.002,60,2,ASGA,cert,-0.654017059542206,0.003746690377903872,0.01642909504423962,374.74742351919286,0.002668463976641015,
main,19,0.002,60,2,SGA,emp,-0.9557725550895929,8.399597068581288e-08,0.01583743619009723,385.53818552685533,63.141533010581355,
main,19,0.002,60,2,ASGA,emp,-1.9682954289128447,1.5951861914720311e-09,0.01583743619009723,385.53818552685533,63.141533010581355,
main,19,0.002,60,2,SGA,cert,-0.014263019094863915,0.032347459070032024,0.01583743619009723,385.53818552685533,0.0025937767970595567,
main,19,0.002,60,2,ASGA,cert,-0.6554326279976864,0.007284670899329729,0.01583743619009723,385.53818552685533,0.0025937767970595567,
main,20,0.002,60,2,SGA,emp,-0.9972259578833913,1.0923098771320472e-07,0.016403380276532886,365.299877191685,60.96304439339413,
main,20,0.002,60,2,ASGA,emp,-2.0370303620422328,1.7975294169803036e-09,0.016403380276532886,365.299877191685,60.96304439339413,
main,20,0.002,60,2,SGA,cert,-0.014717461153682452,0.018038739058998794,0.016403380276532886,365.299877191685,0.002737476967382791,
main,20,0.002,60,2,ASGA,cert,-0.6769014225539068,0.0038702987452046006,0.016403380276532886,365.299877191685,0.002737476967382791,
main,21,0.002,60,2,SGA,emp,-0.9792284343989567,1.0409197793298519e-07,0.01642800425116122,377.0065538516123,60.8716667412181,
main,21,0.002,60,2,ASGA,emp,-1.9824464820868744,1.8401572002280098e-09,0.01642800425116122,377.0065538516123,60.8716667412181,
main,21,0.002,60,2,SGA,cert,-0.014353938011473031,0.02020318748187162,0.01642800425116122,377.0065538516123,0.0026524737827066914,
main,21,0.002,60,2,ASGA,cert,-0.6589494953755319,0.004518766964029648,0.01642800425116122,377.0065538516123,0.0026524737827066914,
main,22,0.002,60,2,SGA,emp,-0.976634919308365,1.0016539374324562e-07,0.01608720445765444,377.46303289297487,62.16120411922724,
main,22,0.002,60,2,ASGA,emp,-1.9906363167447185,1.7263289756042077e-09,0.01608720445765444,377.46303289297487,62.16120411922724,
main,22,0.002,60,2,SGA,cert,-0.014367118928033523,0.02133566355756603,0.01608720445765444,377.46303289297487,0.0026492660548391718,
main,22,0.002,60,2,ASGA,cert,-0.659726617390894,0.004762593129840939,0.01608720445765444,377.46303289297487,0.0026492660548391718,
main,23,0.002,60,2,SGA,emp,-0.9848397846884307,1.2572639037505828e-07,0.016177711125197065,368.4203407563654,61.81344148508639,
main,23,0.002,60,2,ASGA,emp,-2.0175082402544406,2.142824750972494e-09,0.016177711125197065,368.4203407563654,61.81344148508639,
main,23,0.002,60,2,SGA,cert,-0.014506145792196787,0.016777141951607462,0.016177711125197065,368.4203407563654,0.002714290958927523,
main,23,0.002,60,2,ASGA,cert,-0.6659798873756707,0.0036950371338254975,0.016177711125197065,368.4203407563654,0.002714290958927523,
main,24,0.002,60,2,SGA,emp,-1.0125965762941942,8.574946551431761e-08,0.01635468052338018,286.225283699192,61.14457561983121,
main,24,0.002,60,2,ASGA,emp,-2.076620839684877,1.2888887734874288e-09,0.01635468052338018,286.225283699192,61.14457561983121,
main,24,0.002,60,2,SGA,cert,-0.018849573463282504,0.01795243088824206,0.01635468052338018,286.225283699192,0.003493751450172195,
main,24,0.002,60,2,ASGA,cert,-0.891617034884711,0.002310349772509549,0.01635468052338018,286.225283699192,0.003493751450172195,
main,25,0.002,60,2,SGA,emp,-0.9475421504662971,5.5439999036011045e-08,0.016104961474950674,341.11199712488224,62.092666384541154,
main,25,0.002,60,2,ASGA,emp,-1.9543149456748168,1.0670544309254737e-09,0.016104961474950674,341.11199712488224,62.092666384541154,
main,25,0.002,60,2,SGA,cert,-0.016313388858203333,0.05556620287249565,0.016104961474950674,341.11199712488224,0.002931588476596139,
main,25,0.002,60,2,ASGA,cert,-0.7612917603071532,0.009725697725268129,0.016104961474950674,341.11199712488224,0.002931588476596139,
main,26,0.002,60,2,SGA,emp,-0.975105172461417,1.0535193551569622e-07,0.016321585239173597,383.0083516175878,61.26855849760783,
main,26,0.002,60,2,ASGA,emp,-1.9590283127512038,1.9838592227316987e-09,0.016321585239173597,383.0083516175878,61.26855849760783,
main,26,0.002,60,2,SGA,cert,-0.014088740168808974,0.018996689352413665,0.016321585239173597,383.0083516175878,0.002610909124505054,
main,26,0.002,60,2,ASGA,cert,-0.6455323289914033,0.0043855281461626025,0.016321585239173597,383.0083516175878,0.002610909124505054,
main,27,0.002,60,2,SGA,emp,-1.0029774811126686,1.143715330567674e-07,0.01642919901363812,366.53393812969773,60.86724003829312,
main,27,0.002,60,2,ASGA,emp,-2.0435247325200563,1.857049646003528e-09,0.01642919901363812,366.53393812969773,60.86724003829312,
main,27,0.002,60,2,SGA,cert,-0.01468778202052188,0.018961235895876914,0.01642919901363812,366.53393812969773,0.00272826032182087,
main,27,0.002,60,2,ASGA,cert,-0.6754766629622726,0.004081589727022231,0.01642919901363812,366.53393812969773,0.00272826032182087,
main,28,0.002,60,2,SGA,emp,-0.9996745834839262,7.10394653796742e-08,0.016432030172547307,390.70170434426626,60.85675290875998,
main,28,0.002,60,2,ASGA,emp,-1.9690706076158688,1.2424017231671414e-09,0.016432030172547307,390.70170434426626,60.85675290875998,
main,28,0.002,60,2,SGA,cert,-0.0141228741407104,0.035737983439001836,0.016432030172547307,390.70170434426626,0.0025594974090997345,
main,28,0.002,60,2,ASGA,cert,-0.6485936454872373,0.008176220310569825,0.016432030172547307,390.70170434426626,0.0025594974090997345,
main,29,0.002,60,2,SGA,emp,-0.967704345019012,6.047864448133211e-08,0.016434761031430493,332.7210843035264,60.84664073226012,
main,29,0.002,60,2,ASGA,emp,-1.9585433143955366,1.1316244608039483e-09,0.016434761031430493,332.7210843035264,60.84664073226012,
main,29,0.002,60,2,SGA,cert,-0.01668206290222334,0.0454308136384166,0.016434761031430493,332.7210843035264,0.0030055203808116507,
main,29,0.002,60,2,ASGA,cert,-0.7799946264535521,0.007608532718331437,0.016434761031430493,332.7210843035264,0.0030055203808116507,
main,30,0.002,60,2,SGA,emp,-1.0041376865787168,9.771256755802815e-08,0.01625596833956957,373.2630758575319,61.515867840726756,
main,30,0.002,60,2,ASGA,emp,-2.0610180071036326,1.5293487171108566e-09,0.01625596833956957,373.2630758575319,61.515867840726756,
main,30,0.002,60,2,SGA,cert,-0.014468062083184394,0.019288536426884034,0.01625596833956957,373.2630758575319,0.002679075602917881,
main,30,0.002,60,2,ASGA,cert,-0.6645712420229556,0.0042584710142130194,0.01625596833956957,373.2630758575319,0.002679075602917881,
main,31,0.002,60,2,SGA,emp,-0.9642936933995662,4.97117543379888e-08,0.016366228502820778,292.6112821641847,61.10143212455126,
main,31,0.002,60,2,ASGA,emp,-1.9547726637887946,9.236492820585696e-10,0.016366228502820778,292.6112821641847,61.10143212455126,
main,31,0.002,60,2,SGA,cert,-0.018972011037380193,0.042912837842185886,0.016366228502820778,292.6112821641847,0.003417503223402365,
main,31,0.002,60,2,ASGA,cert,-0.9021262700161378,0.005351408404125686,0.016366228502820778,292.6112821641847,0.003417503223402365,
main,32,0.002,60,2,SGA,emp,-0.9922494383693763,6.56985735952853e-08,0.016359004372740595,318.51661053510696,61.128414493630444,
main,32,0.002,60,2,ASGA,emp,-1.968886365559957,1.1850806100333067e-09,0.016359004372740595,318.51661053510696,61.128414493630444,
main,32,0.002,60,2,SGA,cert,-0.01725761450552959,0.0305495798514549,0.016359004372740595,318.51661053510696,0.0031395536902141556,
main,32,0.002,60,2,ASGA,cert,-0.8092771870950666,0.004776535812856392,0.016359004372740595,318.51661053510696,0.0031395536902141556,
main,33,0.002,60,2,SGA,emp,-1.0113169903132195,8.019817531942919e-08,0.016429624394273555,334.45599345231625,60.865664120023574,
main,33,0.002,60,2,ASGA,emp,-2.153346624997465,1.0435286974808111e-09,0.016429624394273555,334.45599345231625,60.865664120023574,
main,33,0.002,60,2,SGA,cert,-0.016027253557630843,0.014786485889895874,0.016429624394273555,334.45599345231625,0.0029899299745769726,
main,33,0.002,60,2,ASGA,cert,-0.7432025387443247,0.0027138198565660916,0.016429624394273555,334.45599345231625,0.0029899299745769726,
main,34,0.002,60,2,SGA,emp,-0.963557011118222,5.589533691452431e-08,0.01637096125677789,339.61942768386325,61.08376803994823,
main,34,0.002,60,2,ASGA,emp,-1.9581840693817676,1.0432212593780577e-09,0.01637096125677789,339.61942768386325,61.08376803994823,
main,34,0.002,60,2,SGA,cert,-0.016344685453851367,0.045500166723182044,0.01637096125677789,339.61942768386325,0.002944472307782274,
main,34,0.002,60,2,ASGA,cert,-0.7625914378802148,0.007942102922314176,0.01637096125677789,339.61942768386325,0.002944472307782274,
main,35,0.002,60,2,SGA,emp,-1.0529720868441514,5.303704712911195e-08,0.0162903381033968,231.08174667238984,61.38608012018386,
main,35,0.002,60,2,ASGA,emp,-2.0700300647272494,8.021782717249071e-10,0.0162903381033968,231.08174667238984,61.38608012018386,
main,35,0.002,60,2,SGA,cert,-0.023498491223422194,0.01810214467081382,0.0162903381033968,231.08174667238984,0.004327472915538085,
main,35,0.002,60,2,ASGA,cert,-1.1519804121088626,0.0012250963640123257,0.0162903381033968,231.08174667238984,0.004327472915538085,
main,36,0.002,60,2,SGA,emp,-0.9702479406767379,6.889691556849487e-08,0.01616756595014557,304.70987189207983,61.85222952444465,
main,36,0.002,60,2,ASGA,emp,-2.0015111141021857,1.1997683610487364e-09,0.01616756595014557,304.70987189207983,61.85222952444465,
main,36,0.002,60,2,SGA,cert,-0.01800557407389601,0.026189805297541176,0.01616756595014557,304.70987189207983,0.003281810312841369,
main,36,0.002,60,2,ASGA,cert,-0.8485510459433442,0.0037271885265482904,0.01616756595014557,304.70987189207983,0.003281810312841369,
main,37,0.002,60,2,SGA,emp,-1.0032803006493198,1.173227431316981e-07,0.016449607728024694,382.97698236720424,60.79172321515792,
main,37,0.002,60,2,ASGA,emp,-2.036979627281655,1.9210480775577743e-09,0.016449607728024694,382.97698236720424,60.79172321515792,
main,37,0.002,60,2,SGA,cert,-0.014047220462913956,0.018778928988165126,0.016449607728024694,382.97698236720424,0.002611122981383734,
main,37,0.002,60,2,ASGA,cert,-0.6432948451946644,0.00435932621112485,0.016449607728024694,382.97698236720424,0.002611122981383734,
