d,block,sink_std,sink_acc,sec_std,sec_acc
2,0,0.3152233064174652,0.3152233064174652,0.0,0.0
2,1,0.2847347855567932,0.2847347855567932,3.3008675575256348,2.8621315956115723
2,2,0.26375287771224976,0.26375287771224976,6.23209285736084,5.6749067306518555
2,3,0.24667242169380188,0.2433931827545166,9.005419969558716,8.3387131690979
2,4,0.23218375444412231,0.2234405279159546,11.513582468032837,11.166688442230225
2,5,0.2189883291721344,0.20343412458896637,13.946712732315063,13.96742296218872
2,6,0.20652639865875244,0.18311455845832825,16.548001289367676,16.7191219329834
2,7,0.19540995359420776,0.1636984646320343,19.312140226364136,19.584901809692383
2,8,0.18475089967250824,0.14484280347824097,22.200726985931396,22.397695064544678
2,9,0.17493371665477753,0.1273251175880432,25.036256313323975,25.166577577590942
2,10,0.1660863161087036,0.11201966553926468,27.681522369384766,27.90169048309326
2,11,0.15796034038066864,0.09953722357749939,30.458714723587036,30.65049386024475
2,12,0.1505829393863678,0.08983007073402405,33.277753829956055,33.41532850265503
2,13,0.14294613897800446,0.08276096731424332,36.013396978378296,36.20162558555603
2,14,0.1361926645040512,0.07825016230344772,38.894686460494995,38.95622515678406
2,15,0.13032370805740356,0.07591679692268372,41.63629674911499,41.64686965942383
2,16,0.12473161518573761,0.0751304030418396,44.34224343299866,44.443382263183594
2,17,0.1193440780043602,0.07522864639759064,47.10878610610962,47.33628702163696
2,18,0.11466138064861298,0.07561685889959335,49.86272168159485,50.15784978866577
2,19,0.11024033278226852,0.07608084380626678,52.59243154525757,52.936628341674805
2,20,0.10659573972225189,0.0765853151679039,55.33851599693298,55.783862590789795
2,21,0.10272888839244843,0.07697910070419312,58.231184005737305,58.42097854614258
2,22,0.0993804857134819,0.07718047499656677,61.051655292510986,61.17708206176758
2,23,0.09651035070419312,0.07727877795696259,63.803720474243164,63.86248707771301
2,24,0.09389661997556686,0.07720008492469788,66.67995023727417,66.58023500442505
2,25,0.09126140922307968,0.07712120562791824,69.29386973381042,69.35511589050293
5,0,0.7288717031478882,0.7288717031478882,0.0,0.0
