d,block,sink_std,sink_acc,sec_std,sec_acc
2,0,0.7621384263038635,0.7621384263038635,0.0,0.0
2,1,0.49116405844688416,0.49116405844688416,3.413120985031128,2.9005861282348633
2,2,0.348108172416687,0.348108172416687,6.187303781509399,5.646668195724487
2,3,0.25947973132133484,0.24130605161190033,8.90770697593689,8.496847152709961
2,4,0.19912096858024597,0.16207030415534973,11.716921329498291,11.35548448562622
2,5,0.15475672483444214,0.10314328223466873,14.426020383834839,14.065613985061646
2,6,0.12391441315412521,0.06436923146247864,17.272639513015747,16.843179941177368
2,7,0.09916388243436813,0.042803116142749786,20.15125846862793,19.624154329299927
2,8,0.08151758462190628,0.03633638843894005,22.99057173728943,22.336493730545044
2,9,0.06857012957334518,0.03605877235531807,25.713069200515747,25.115047693252563
2,10,0.05869603529572487,0.03659455478191376,28.401867628097534,27.85268259048462
2,11,0.05155399814248085,0.03681759163737297,31.1314480304718,30.61277961730957
2,12,0.046655990183353424,0.03661599010229111,33.87948536872864,33.39990711212158
2,13,0.043692972511053085,0.036524973809719086,36.634939193725586,36.17511534690857
2,14,0.041392210870981216,0.03642651438713074,39.35666823387146,38.84693384170532
2,15,0.03967982530593872,0.03632763400673866,42.11639666557312,41.63666033744812
2,16,0.03869068622589111,0.036256156861782074,44.82526230812073,44.32484793663025
2,17,0.038023728877305984,0.03615869581699371,47.65276622772217,46.87316083908081
2,18,0.03757914900779724,0.03600670397281647,50.32332921028137,49.40897560119629
2,19,0.03735688701272011,0.03591056540608406,53.048789501190186,51.98790431022644
2,20,0.03730066865682602,0.03595693036913872,55.75700616836548,54.5143518447876
2,21,0.03717409819364548,0.03597353771328926,58.51958751678467,57.10097050666809
2,22,0.03707929700613022,0.03601360321044922,61.31337785720825,59.82379126548767
2,23,0.03704668581485748,0.03605766221880913,64.19962692260742,62.441128969192505
2,24,0.03698945790529251,0.03607127070426941,66.90124368667603,64.88078927993774
2,25,0.03700504079461098,0.036132827401161194,69.63598537445068,67.43893599510193
5,0,1.4405362606048584,1.4405362606048584,0.0,0.0
5,1,0.8502492308616638,0.8502492308616638,3.1591036319732666,3.2040858268737793
5,2,0.5833126306533813,0.5833126306533813,6.126701354980469,6.22508430480957
5,3,0.44409850239753723,0.4171390235424042,9.126134395599365,9.35549783706665
5,4,0.36823078989982605,0.32725852727890015,12.040063858032227,12.332315444946289
5,5,0.32674840092658997,0.28930169343948364,14.72755479812622,15.376440525054932
5,6,0.30423790216445923,0.277004599571228,17.761698484420776,18.19153928756714
5,7,0.2918229103088379,0.27397990226745605,20.7450692653656,21.294130086898804
5,8,0.28503355383872986,0.2736459970474243,23.86524987220764,24.220471382141113
5,9,0.28113794326782227,0.27419185638427734,26.795729160308838,26.99485445022583
5,10,0.2789599299430847,0.274955689907074,29.824556827545166,29.992259740829468
5,11,0.2776604890823364,0.27564936876296997,32.99681997299194,33.069804191589355
5,12,0.27678370475769043,0.2762013375759125,35.97831392288208,36.152099609375
5,13,0.27636316418647766,0.2765560746192932,39.039947271347046,39.17814779281616
5,14,0.27611854672431946,0.2767401933670044,42.14325284957886,42.2507598400116
5,15,0.2759372591972351,0.2767784595489502,45.02007555961609,45.4055757522583
5,16,0.275753378868103,0.27666133642196655,47.954992055892944,48.39176964759827
5,17,0.27563437819480896,0.27652135491371155,51.010966777801514,51.43495202064514
5,18,0.2755565345287323,0.2763844430446625,54.07124423980713,54.58327913284302
5,19,0.2754426598548889,0.276248037815094,57.03863167762756,57.773675203323364
5,20,0.2754164934158325,0.27616891264915466,59.84041237831116,60.77691721916199
5,21,0.2753974497318268,0.2761536240577698,63.00057911872864,63.61205172538757
5,22,0.2753317952156067,0.27612510323524475,66.08067440986633,66.51902174949646
5,23,0.27532896399497986,0.27614080905914307,69.25157070159912,69.53792023658752
5,24,0.2753165364265442,0.27616778016090393,72.2427225112915,72.42727732658386
5,25,0.27530205249786377,0.27620819211006165,75.42104029655457,75.51489925384521
10,0,2.3996896743774414,2.3996896743774414,0.0,0.0
10,1,1.3502840995788574,1.3502840995788574,4.080777406692505,4.021183729171753
10,2,0.9667149186134338,0.9667149186134338,8.180078268051147,8.182154893875122
10,3,0.8058932423591614,0.7758786082267761,12.138301610946655,12.12334156036377
10,4,0.7335134148597717,0.6956827044487,16.22633194923401,15.986257791519165
10,5,0.6995439529418945,0.6669414043426514,20.167802572250366,19.9501793384552
10,6,0.6823728084564209,0.6581783294677734,24.14257502555847,23.734907150268555
10,7,0.6732000112533569,0.6569187641143799,28.054670095443726,27.775246620178223
10,8,0.66803377866745,0.6581937074661255,32.11141490936279,31.617627382278442
10,9,0.665343701839447,0.6599802374839783,35.79078197479248,35.16466951370239
10,10,0.6638737320899963,0.6614055037498474,39.33161377906799,38.77672791481018
10,11,0.6631396412849426,0.6622871160507202,43.06944441795349,42.674787521362305
