seed,method,block,w2
0,std,0,1.0291937589645386
0,acc,0,1.0291937589645386
0,std,1,0.10663724690675735
0,acc,1,0.10663724690675735
0,std,2,0.035023290663957596
0,acc,2,0.035023290663957596
0,std,3,0.03289320692420006
0,acc,3,0.031304169446229935
0,std,4,0.039459146559238434
0,acc,4,0.03816627338528633
0,std,5,0.02472284622490406
0,acc,5,0.023991523310542107
0,std,6,0.02668043039739132
0,acc,6,0.025341833010315895
0,std,7,0.02542322315275669
0,acc,7,0.02436148002743721
0,std,8,0.02378385327756405
0,acc,8,0.022173218429088593
0,std,9,0.03233247995376587
0,acc,9,0.031005296856164932
0,std,10,0.031134597957134247
0,acc,10,0.029192904010415077
0,std,11,0.031979162245988846
0,acc,11,0.03120032697916031
0,std,12,0.036589596420526505
0,acc,12,0.0350569486618042
0,std,13,0.03410792350769043
0,acc,13,0.03197052329778671
0,std,14,0.043093279004096985
0,acc,14,0.041037581861019135
0,std,15,0.030316300690174103
0,acc,15,0.027947131544351578
0,std,16,0.03026365488767624
0,acc,16,0.02863279916346073
0,std,17,0.031024247407913208
0,acc,17,0.029415970668196678
0,std,18,0.037069592624902725
0,acc,18,0.03502243384718895
0,std,19,0.03136415779590607
0,acc,19,0.02983064204454422
0,std,20,0.03529970720410347
0,acc,20,0.033967599272727966
0,std,21,0.027507668361067772
0,acc,21,0.025965508073568344
0,std,22,0.03821740671992302
0,acc,22,0.03673355281352997
0,std,23,0.03816220536828041
0,acc,23,0.035494524985551834
0,std,24,0.03036428987979889
0,acc,24,0.028131656348705292
0,std,25,0.03722696751356125
0,acc,25,0.03431253880262375
1,std,0,1.028425931930542
1,acc,0,1.028425931930542
1,std,1,0.11479227244853973
1,acc,1,0.11479227244853973
1,std,2,0.044486016035079956
1,acc,2,0.044486016035079956
1,std,3,0.039017241448163986
1,acc,3,0.036800846457481384
1,std,4,0.03542675822973251
1,acc,4,0.033495258539915085
1,std,5,0.03881442919373512
1,acc,5,0.035621292889118195
1,std,6,0.04417891800403595
1,acc,6,0.0407046340405941
1,std,7,0.03585440292954445
1,acc,7,0.0329081155359745
1,std,8,0.032826878130435944
1,acc,8,0.030367165803909302
1,std,9,0.033553946763277054
1,acc,9,0.03171113505959511
1,std,10,0.03658788278698921
1,acc,10,0.034074705094099045
1,std,11,0.0464109368622303
1,acc,11,0.04426335543394089
1,std,12,0.034833598881959915
1,acc,12,0.03206643462181091
1,std,13,0.04010675847530365
1,acc,13,0.037160731852054596
1,std,14,0.03911526873707771
1,acc,14,0.03820054978132248
1,std,15,0.036206088960170746
1,acc,15,0.03353813663125038
1,std,16,0.045472241938114166
1,acc,16,0.042373258620500565
1,std,17,0.034849464893341064
1,acc,17,0.0331432931125164
1,std,18,0.04004339873790741
1,acc,18,0.037533268332481384
1,std,19,0.049876127392053604
1,acc,19,0.04680141806602478
1,std,20,0.0361015722155571
1,acc,20,0.03381839022040367
1,std,21,0.0399443581700325
1,acc,21,0.03752809017896652
1,std,22,0.03929685056209564
1,acc,22,0.03664541244506836
1,std,23,0.036063872277736664
1,acc,23,0.03479961305856705
1,std,24,0.03439400717616081
1,acc,24,0.032716549932956696
1,std,25,0.042194951325654984
1,acc,25,0.03841225430369377
2,std,0,1.01651930809021
2,acc,0,1.01651930809021
2,std,1,0.10912210494279861
2,acc,1,0.10912210494279861
2,std,2,0.030120445415377617
2,acc,2,0.030120445415377617
2,std,3,0.035157423466444016
2,acc,3,0.03397351875901222
2,std,4,0.03300374746322632
2,acc,4,0.031093455851078033
2,std,5,0.029764967039227486
2,acc,5,0.027582867071032524
2,std,6,0.026847029104828835
