block,w2_std,w2_acc
0,1.0275195837020874,1.0275195837020874
1,0.7998278737068176,0.7998278737068176
2,0.7668222188949585,0.7668222188949585
3,0.7454752922058105,0.7461137771606445
4,0.7369911670684814,0.7404170632362366
5,0.7338688373565674,0.7355471849441528
6,0.7284128665924072,0.7220088839530945
7,0.7169375419616699,0.7014263868331909
8,0.7087247967720032,0.6850752830505371
9,0.7120357751846313,0.6836456656455994
10,0.693337082862854,0.6579577326774597
11,0.6845855116844177,0.6369251012802124
12,0.670060396194458,0.6144585609436035
13,0.681185245513916,0.6165458559989929
14,0.6711464524269104,0.6037564873695374
15,0.6620864868164062,0.5909990668296814
16,0.6436106562614441,0.5644671320915222
17,0.6507059931755066,0.5556190609931946
18,0.6312881112098694,0.5297653675079346
19,0.6213030219078064,0.49874043464660645
20,0.6080857515335083,0.47852665185928345
21,0.6016478538513184,0.46478143334388733
22,0.6057253479957581,0.45953550934791565
23,0.5990788340568542,0.4535171389579773
24,0.6075417995452881,0.4512444734573364
25,0.5868237018585205,0.42789214849472046
