arm,d,R,seed,method,blocks_1e-3,final_gap,sup_w2sq,mom_overhead_pct,spectral_gap,mono_violation,max_map_defect,slope_std,slope_acc
quantile-1d,1,4,29,std,70,9.4435588008146e-05,9.13655992699711,0.0,0.08728419503780105,,,,
quantile-1d,1,4,29,acc,20,8.060500492135247e-05,9.13655992699711,1.3716823727469523,,0.0,1.5077075758390302e-16,,
quantile-1d,1,4,30,std,74,9.291167302416525e-05,13.272269284710037,0.0,0.08740568073215942,,,,
quantile-1d,1,4,30,acc,20,4.181671298830736e-05,13.272269284710037,0.7303133535613774,,0.0,1.5078269996802958e-16,,
quantile-1d,1,4,31,std,81,9.887808640529627e-05,29.514403299628118,0.0,0.08822729026864966,,,,
quantile-1d,1,4,31,acc,21,8.51312951102301e-05,29.514403299628118,0.8890861251131484,,0.2,1.5076422907225324e-16,,
quantile-1d,1,4,32,std,73,9.511903479086925e-05,11.246186545140535,0.0,0.0873214925773279,,,,
quantile-1d,1,4,32,acc,20,9.811883791455145e-05,11.246186545140535,1.5803615224298786,,0.0,1.5076407378321007e-16,,
quantile-1d,1,4,33,std,77,9.690523387240191e-05,17.554588987351835,0.0,0.08762791079161016,,,,
quantile-1d,1,4,33,acc,20,5.39069024685368e-05,17.554588987351835,0.6606445304491678,,0.0,1.5077666528393637e-16,,
quantile-1d,1,4,34,std,68,9.184005268725315e-05,7.537064391217818,0.0,0.08717879739022771,,,,
quantile-1d,1,4,34,acc,19,5.2792242180910165e-05,7.537064391217818,0.5756136591400289,,0.0,1.507840540857937e-16,,
quantile-1d,1,4,35,std,76,9.654157687855047e-05,15.495552558796764,0.0,0.08751540714235649,,,,
quantile-1d,1,4,35,acc,20,4.869445018806928e-05,15.495552558796764,1.8923138790252643,,0.0,1.507792022369849e-16,,
quantile-1d,1,4,36,std,73,9.41713773512376e-05,12.137052300596968,0.0,0.08738130008710589,,,,
quantile-1d,1,4,36,acc,20,3.828968154495627e-05,12.137052300596968,1.5844637217484276,,0.0,1.5078463978320168e-16,,
quantile-1d,1,4,37,std,79,9.880701717879248e-05,23.063935456752077,0.0,0.08792566296810687,,,,
